ticker	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	Inst Trans	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	SMA200	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price	Change
LEG	S&P 500	5.94B	231.20M	4.24B	9.57	1.81	1.60	3.64%	22000	Yes	Yes	2.20	25.88	16.74	4.98	1.40	4.60	24.24	17.91	1.00	1.60	1.51	1.47	1.76%	1.70	2.63	0.70	9.60%	5.20%	9.70%	4.70%	-2.60%	4.70%	Nov 02 AMC	2.48%	1.40%	-0.47%	75.30%	-0.07%	4.90%	18.30%	12.10%	21.40%	9.10%	5.40%	93.70%	14.88%	135.80M	130.91M	2.72%	3.44	47.25	22.03 - 51.76	-15.26%	99.09%	52.96	0.53	1.04M	408,085	-2.16%	9.18%	-2.00%	17.68%	-13.73%	-0.70%	1.47	1.34	2.95% 2.99%	43.99	43.86	-0.30%
ORLY	S&P 500	33.58B	1.68B	11.26B	9.60	22.84	-	-	53159	Yes	Yes	2.10	21.06	20.28	1.76	2.98	49.11	20.64	16.32	0.40	1.00	6.52	5.81	0.62%	22.39	23.25	5.08	11.20%	11.99%	19.50%	7.10%	20.30%	39.10%	Oct 28 AMC	2.31%	0.20%	-41.43%	85.70%	-0.01%	14.60%	373.30%	35.50%	52.70%	20.70%	15.00%	0.00%	6.85%	73.92M	71.22M	1.86%	2.50	532.06	251.51 - 496.61	-6.30%	85.01%	51.55	1.40	531.40K	555,491	0.34%	5.35%	1.48%	9.23%	7.61%	4.18%	1.03	10.62	2.67% 2.24%	471.50	465.33	-1.31%
MU	S&P 500	92.79B	3.00B	22.06B	35.79	6.16	-	-	40000	Yes	Yes	1.90	30.68	10.35	1.67	4.21	2.27	13.19	-	1.90	2.90	0.17	0.16	8.68%	2.65	7.86	0.75	-56.90%	18.38%	-0.80%	5.80%	12.20%	63.30%	Jan 07 AMC	19.29%	0.20%	-9.09%	84.30%	0.08%	-	-	6.10%	31.40%	-	-	-	52.46%	1.12B	1.11B	2.34%	1.49	84.08	31.13 - 84.16	-3.70%	160.34%	73.91	0.75	17.45M	9,734,117	2.77%	13.64%	57.47%	62.28%	44.74%	8.14%	1.27	2.76	4.32% 3.31%	81.30	81.04	-0.31%
AIG	S&P 500	35.82B	-5044.00M	45.91B	73.32	3.68	1.28	3.10%	46000	Yes	Yes	2.50	-	9.47	-	0.78	0.56	11.22	38.76	-	-	0.00	0.60	7.08%	-5.88	4.36	0.90	-46.00%	1.93%	-6.80%	-5.00%	-21.00%	-56.30%	Nov 05 AMC	7.95%	0.10%	-3.22%	92.30%	0.02%	-0.90%	-8.00%	5.50%	-	-9.20%	-10.90%	-	31.51%	867.71M	860.85M	1.62%	2.53	40.80	16.07 - 56.42	-26.69%	157.37%	66.07	0.97	5.52M	3,968,171	1.00%	8.23%	39.29%	26.84%	-20.24%	9.09%	1.37	1.00	2.16% 2.40%	41.30	41.36	0.15%
QRVO	S&P 500	20.88B	445.60M	3.50B	38.55	17.62	-	-	7900	Yes	Yes	2.20	48.43	19.05	3.07	5.96	4.77	10.44	24.25	1.80	2.10	0.61	0.40	4.99%	3.80	9.66	2.66	207.40%	15.75%	5.90%	13.60%	31.40%	69.50%	Nov 04 AMC	12.19%	0.50%	-9.45%	88.60%	-0.03%	6.40%	10.20%	4.60%	43.70%	16.00%	12.70%	0.00%	41.47%	114.33M	113.57M	2.03%	2.04	168.04	67.54 - 186.14	-4.27%	163.84%	61.97	0.98	1.13M	821,976	3.01%	19.05%	36.10%	64.70%	63.50%	10.63%	1.42	5.31	2.80% 2.80%	183.94	178.20	-3.12%
SO	S&P 500	61.92B	3.17B	20.17B	26.74	3.22	2.56	4.34%	27943	Yes	Yes	2.70	19.81	17.78	4.55	3.07	2.21	18.33	-	0.70	0.90	1.77	1.61	-1.24%	2.98	3.32	0.40	109.90%	4.35%	15.60%	3.00%	-6.30%	-5.60%	Oct 29 BMO	-2.37%	0.13%	-7.79%	59.80%	0.21%	2.60%	11.40%	8.00%	89.40%	23.30%	15.70%	84.00%	5.15%	1.06B	1.05B	0.83%	2.36	64.00	41.96 - 71.10	-16.35%	41.74%	45.74	0.87	3.70M	2,394,504	-3.43%	-1.04%	1.79%	9.86%	-9.97%	-3.89%	0.43	1.15	2.16% 1.86%	59.04	59.47	0.74%
JBHT	S&P 500	15.96B	496.70M	9.35B	23.54	3.03	1.08	0.71%	29056	Yes	Yes	2.40	32.65	25.15	2.80	1.71	6.45	50.12	59.83	-	1.60	0.00	0.52	6.75%	4.65	6.04	1.30	6.80%	11.66%	8.50%	8.30%	4.60%	6.90%	Jan 19 AMC	10.84%	1.80%	-14.86%	75.10%	0.67%	9.00%	21.10%	16.00%	17.50%	7.60%	5.30%	22.80%	20.53%	105.65M	83.91M	2.10%	2.25	142.91	75.29 - 153.42	-1.38%	100.96%	71.02	0.57	782.21K	330,950	2.34%	13.58%	8.53%	14.64%	27.65%	11.20%	1.02	3.46	2.12% 2.22%	151.95	151.30	-0.43%
MAA	S&P 500	14.67B	317.10M	1.67B	51.69	0.16	4.10	3.18%	2476	Yes	Yes	2.50	49.37	59.34	7.05	8.78	2.50	797.21	55.56	-	-	0.75	0.75	4.39%	2.61	2.17	0.53	53.80%	7.00%	9.30%	10.60%	1.80%	-24.30%	Feb 03 AMC	4.05%	0.40%	-0.63%	93.50%	0.02%	2.80%	5.30%	4.10%	59.10%	25.80%	19.00%	151.40%	10.89%	114.22M	113.55M	1.19%	2.13	131.58	82.00 - 148.88	-12.52%	58.84%	64.50	0.85	634.92K	403,773	3.57%	6.23%	5.08%	15.16%	-2.32%	1.82%	0.69	2.54	1.89% 2.07%	129.00	130.24	0.97%
KEYS	S&P 500	26.28B	627.00M	4.22B	17.63	9.82	-	-	13900	Yes	Yes	1.70	44.34	24.21	4.23	6.23	8.34	14.97	29.23	2.40	3.10	0.00	0.54	7.97%	3.32	6.07	1.36	2.00%	10.49%	2.00%	8.10%	8.90%	13.70%	Nov 18 AMC	16.54%	0.50%	-18.49%	90.80%	-0.05%	9.00%	19.50%	12.40%	60.00%	18.10%	14.90%	0.00%	38.07%	187.00M	185.27M	5.23%	7.68	131.21	77.93 - 151.16	-3.55%	87.09%	72.57	0.70	1.26M	655,112	4.28%	18.84%	40.06%	52.55%	45.49%	11.31%	0.96	3.21	2.86% 2.18%	147.03	145.80	-0.84%
SJM	S&P 500	12.92B	877.20M	8.07B	74.89	3.53	3.60	3.20%	7300	Yes	Yes	3.20	14.57	13.44	-	1.60	1.50	31.86	13.86	0.40	0.80	0.61	0.46	-1.29%	7.72	8.38	2.19	51.00%	-0.73%	15.50%	6.50%	3.90%	9.20%	Nov 24 BMO	-2.13%	0.70%	-1.15%	85.30%	-0.01%	5.20%	10.60%	7.10%	38.90%	17.10%	10.90%	45.80%	0.12%	113.70M	109.18M	6.35%	7.61	119.60	91.88 - 125.62	-9.60%	23.60%	45.06	1.20	911.83K	812,429	-3.68%	-0.62%	-5.40%	6.10%	7.65%	-2.64%	0.29	2.20	2.44% 1.75%	112.55	113.56	0.90%
ABT	S&P 500	194.49B	3.35B	32.22B	17.69	2.68	1.80	1.64%	107000	Yes	Yes	1.90	58.53	25.16	4.41	6.04	6.22	41.11	92.61	1.20	1.70	0.59	0.58	1.60%	1.88	4.37	1.35	45.20%	13.28%	12.40%	9.50%	9.60%	28.10%	Jan 27 BMO	1.50%	0.20%	-6.76%	75.70%	0.03%	5.00%	11.00%	8.20%	56.80%	13.50%	10.50%	73.30%	10.28%	1.77B	1.76B	0.50%	1.83	121.06	61.61 - 115.14	-3.56%	80.23%	55.60	0.64	4.84M	2,321,878	-1.13%	3.04%	2.13%	14.15%	25.93%	0.50%	0.75	2.23	2.37% 1.98%	110.04	111.04	0.91%
TWTR	S&P 500	37.02B	-1239.00M	3.43B	9.88	9.50	-	-	4900	Yes	Yes	2.80	-	51.45	-	10.78	4.63	4.82	176.04	4.40	4.40	0.44	0.33	-13.76%	-1.58	0.89	0.29	19.60%	-	31.60%	19.80%	13.70%	-23.10%	Oct 29 AMC	-6.41%	0.20%	-24.10%	76.30%	-0.03%	-9.60%	-15.00%	12.80%	63.70%	-2.40%	-36.10%	-	15.52%	790.83M	777.23M	2.80%	1.25	45.06	20.00 - 56.11	-19.05%	127.10%	27.70	1.33	17.42M	17,184,896	-12.50%	-11.98%	-0.41%	29.79%	37.80%	-15.44%	0.72	2.09	5.59% 3.51%	45.79	45.42	-0.81%
UAA	S&P 500	7.98B	-748.90M	4.51B	3.23	2.01	-	-	7000	Yes	Yes	2.70	-	144.53	-	1.77	5.73	9.22	93.63	1.30	2.10	0.00	0.68	2.80%	-1.65	0.13	-0.07	-235.30%	-4.50%	-26.50%	11.30%	0.20%	-62.10%	Oct 30 BMO	8.02%	0.10%	0.00%	91.70%	0.11%	-15.30%	-45.40%	6.10%	47.60%	-13.20%	-16.60%	-	50.31%	454.54M	382.26M	3.67%	2.23	14.88	7.15 - 21.65	-16.26%	153.57%	57.62	0.60	6.29M	2,802,040	2.61%	7.93%	47.53%	78.57%	-12.65%	7.75%	1.21	0.58	3.86% 3.13%	18.50	18.13	-2.00%
ABBV	S&P 500	196.05B	7.32B	40.65B	8.63	4.53	5.20	4.66%	47000	Yes	Yes	2.00	24.41	9.16	2.22	4.82	12.94	24.66	24.15	0.80	1.00	5.70	5.39	3.91%	4.57	12.19	2.86	42.30%	10.98%	36.80%	10.80%	52.20%	2.20%	Oct 30 BMO	6.82%	0.10%	-24.75%	70.10%	0.01%	6.10%	203.50%	21.20%	68.60%	28.50%	18.00%	100.60%	17.93%	1.77B	1.76B	0.79%	1.68	117.00	62.55 - 113.41	-2.79%	76.26%	63.33	0.93	8.27M	5,751,809	4.61%	7.13%	29.70%	11.72%	25.06%	4.18%	0.80	2.36	2.36% 2.04%	111.63	110.25	-1.24%
FLIR	S&P 500	6.99B	139.00M	1.89B	13.79	2.48	0.68	1.26%	4265	Yes	Yes	3.00	51.37	23.17	8.03	3.70	3.92	21.85	46.70	1.50	2.50	0.44	0.40	12.99%	1.05	2.33	0.62	-37.70%	6.40%	-2.10%	4.30%	-1.00%	1.20%	Oct 30 BMO	26.82%	0.60%	-3.72%	92.70%	0.20%	4.40%	7.80%	8.00%	49.40%	13.80%	7.40%	64.20%	34.13%	131.13M	129.96M	1.60%	0.90	53.25	23.85 - 59.44	-9.71%	125.03%	76.27	1.12	2.31M	1,935,718	4.28%	28.42%	46.31%	26.59%	0.28%	23.41%	1.59	1.50	1.76% 2.67%	54.09	53.67	-0.78%
OKE	S&P 500	20.27B	623.90M	8.64B	13.81	0.99	3.74	8.36%	2882	Yes	Yes	2.80	30.95	15.37	53.55	2.35	3.24	45.35	-	1.10	1.60	2.32	2.32	10.61%	1.45	2.91	0.72	10.70%	0.58%	15.10%	-3.60%	-3.90%	-5.80%	Oct 27 AMC	19.09%	0.59%	0.00%	66.40%	0.15%	2.80%	10.30%	8.10%	38.90%	15.00%	7.20%	256.50%	39.28%	445.10M	441.78M	2.14%	2.32	37.27	12.16 - 78.48	-43.59%	264.06%	69.95	0.56	4.07M	1,697,127	9.98%	11.51%	49.45%	55.15%	-41.04%	16.62%	2.02	1.61	4.65% 3.68%	44.76	44.27	-1.09%
DVA	S&P 500	13.22B	832.10M	11.54B	13.02	6.61	-	-	65000	Yes	Yes	2.80	18.20	14.53	0.83	1.15	9.19	18.11	8.78	1.30	1.40	5.10	5.00	1.02%	6.57	8.24	1.92	28.30%	21.80%	6.60%	-2.30%	0.70%	29.00%	Oct 29 AMC	6.64%	2.00%	-50.37%	97.90%	-0.09%	4.70%	43.30%	13.00%	31.30%	14.60%	7.30%	0.00%	32.31%	120.91M	108.69M	4.78%	6.67	109.90	62.20 - 125.28	-4.99%	91.37%	57.76	0.58	779.28K	334,493	-2.10%	9.57%	34.62%	41.07%	53.29%	1.91%	1.33	2.61	2.17% 2.11%	119.64	119.03	-0.51%
TXT	S&P 500	11.58B	272.00M	12.02B	25.08	11.57	0.08	0.16%	35000	Yes	Yes	2.60	42.43	18.72	-	0.96	2.00	4.34	16.71	1.10	2.20	0.82	0.67	2.45%	1.18	2.68	0.89	-26.60%	-3.53%	10.30%	-0.40%	-16.10%	-47.30%	Jan 27 BMO	6.32%	0.40%	-24.42%	86.90%	-0.01%	1.70%	4.90%	9.40%	13.40%	2.90%	2.30%	6.70%	34.44%	228.92M	227.85M	1.52%	2.92	49.00	20.26 - 51.53	-4.66%	142.50%	56.99	0.47	1.19M	414,793	2.85%	7.38%	39.46%	49.78%	10.70%	3.85%	1.72	1.37	3.31% 2.80%	50.19	49.13	-2.11%
KIM	S&P 500	7.00B	867.40M	1.08B	12.73	0.76	0.64	3.90%	502	Yes	Yes	2.40	8.13	34.80	1.77	6.46	1.29	21.54	34.85	-	-	0.98	0.98	9.84%	2.02	0.47	0.10	-21.60%	4.60%	1.00%	3.10%	-8.20%	-175.50%	Nov 05 BMO	13.01%	0.10%	0.00%	86.70%	0.10%	7.60%	16.60%	3.90%	68.50%	32.30%	79.20%	33.00%	34.59%	429.99M	420.75M	3.51%	3.17	15.77	7.45 - 20.56	-20.11%	120.47%	68.19	1.05	4.67M	3,656,730	7.48%	13.58%	49.41%	38.43%	-18.98%	9.19%	1.52	0.48	2.93% 3.26%	16.39	16.42	0.21%
CINF	S&P 500	15.02B	793.00M	6.99B	60.57	5.69	2.40	2.57%	5148	Yes	Yes	3.00	19.28	24.52	-	2.15	1.54	16.44	14.19	-	-	0.10	0.09	8.75%	4.85	3.81	1.16	593.30%	-3.33%	30.80%	9.90%	31.00%	99.50%	Oct 26 AMC	14.38%	0.60%	-9.01%	67.60%	0.22%	3.20%	8.60%	19.10%	-	-	11.30%	47.00%	25.49%	160.90M	149.88M	4.90%	7.74	82.17	46.07 - 115.53	-18.41%	104.60%	71.94	0.77	949.84K	547,369	6.63%	17.43%	18.69%	23.32%	-11.30%	7.00%	0.60	2.65	3.24% 3.04%	93.49	94.26	0.82%
CFG	S&P 500	17.98B	953.00M	5.61B	48.04	28.22	1.56	3.76%	18000	Yes	Yes	2.10	18.77	13.57	-	3.20	0.86	1.47	-	-	-	0.46	0.41	10.34%	2.21	3.05	0.91	10.00%	-4.98%	19.70%	11.10%	-16.80%	-30.10%	Jan 20 BMO	17.66%	0.10%	-2.69%	99.80%	3.00%	0.50%	4.70%	10.80%	-	71.10%	17.00%	69.10%	50.25%	426.85M	425.33M	1.92%	2.04	38.40	14.12 - 41.67	-2.40%	188.03%	70.18	0.85	3.99M	2,516,672	3.19%	19.73%	50.29%	62.87%	6.34%	15.91%	1.79	1.21	3.18% 2.88%	41.45	40.67	-1.88%
COF	S&P 500	52.41B	953.00M	26.91B	115.98	96.28	0.40	0.35%	52500	Yes	Yes	1.90	55.94	11.35	6.99	1.95	0.99	1.19	3.24	-	-	0.79	0.79	11.23%	2.05	10.08	2.65	-6.90%	8.00%	7.80%	8.00%	-12.20%	88.50%	Jan 26 AMC	21.16%	0.90%	-15.41%	92.30%	0.06%	-0.40%	-2.90%	15.50%	-	28.40%	-5.60%	-	54.26%	457.80M	453.34M	1.09%	1.58	111.89	38.00 - 115.48	-2.36%	196.71%	73.77	0.75	3.14M	1,759,966	3.31%	26.52%	45.44%	80.56%	11.78%	15.73%	1.73	3.04	2.71% 2.69%	114.40	112.75	-1.44%
JNJ	DJIA S&P500	423.79B	16.69B	80.86B	24.49	11.67	4.04	2.51%	132200	Yes	Yes	1.90	25.70	17.87	5.87	5.24	6.56	13.77	53.08	1.20	1.50	0.59	0.51	3.04%	6.25	8.99	1.83	0.50%	4.38%	-0.20%	2.00%	1.70%	102.80%	Jan 26 BMO	6.67%	0.08%	-4.46%	69.80%	-0.05%	10.60%	27.40%	17.30%	65.80%	23.60%	21.00%	60.80%	8.88%	2.63B	2.63B	0.49%	1.77	167.41	109.16 - 161.95	-0.75%	47.25%	67.58	0.82	7.35M	4,470,234	0.17%	7.77%	8.47%	7.64%	9.28%	2.08%	0.73	2.52	1.28% 1.50%	160.65	160.74	0.06%
YUM	S&P 500	32.04B	1.06B	5.60B	-26.14	3.73	1.88	1.74%	34000	Yes	Yes	2.50	31.36	26.97	4.00	5.72	-	28.87	58.47	1.30	1.30	-	-	-1.15%	3.44	4.00	1.01	-7.80%	7.85%	13.20%	-3.20%	8.10%	13.10%	Oct 29 BMO	0.87%	0.17%	-8.91%	78.70%	-0.12%	17.80%	-13.10%	72.70%	48.10%	27.90%	18.90%	52.30%	13.45%	303.00M	301.15M	1.35%	2.54	108.71	54.95 - 110.66	-3.76%	93.81%	48.80	0.44	1.61M	525,677	2.06%	2.16%	11.67%	20.17%	6.46%	-0.72%	1.09	1.74	1.70% 1.59%	107.78	106.50	-1.19%
ED	S&P 500	23.41B	1.35B	12.24B	55.29	0.45	3.06	4.47%	14890	Yes	Yes	3.40	16.93	15.25	6.66	1.91	1.24	153.04	13.89	0.50	0.60	1.24	1.04	-1.69%	4.04	4.49	0.79	-10.40%	2.54%	1.90%	-0.50%	-1.00%	3.50%	Nov 05 AMC	-7.42%	0.10%	0.65%	64.90%	0.35%	2.30%	7.40%	6.00%	82.80%	22.20%	11.10%	74.80%	-8.80%	334.50M	334.34M	2.78%	3.76	78.56	62.03 - 95.10	-27.31%	11.45%	40.66	0.55	2.47M	1,018,741	-2.07%	-5.46%	-16.76%	-4.70%	-23.04%	-5.27%	0.16	1.49	2.29% 2.03%	68.46	69.13	0.98%
EQIX	S&P 500	60.26B	443.80M	5.85B	118.86	30.44	10.64	1.54%	8378	Yes	Yes	1.80	135.42	81.32	5.89	10.30	5.80	22.66	-	1.10	1.10	1.17	0.96	1.56%	5.09	8.48	1.52	33.90%	23.00%	26.50%	17.90%	8.80%	-47.30%	Oct 28 AMC	-0.68%	0.30%	-7.96%	96.50%	0.00%	1.70%	4.60%	4.50%	49.30%	16.80%	7.60%	199.50%	-2.28%	88.81M	88.70M	1.21%	2.18	846.13	477.87 - 839.77	-15.73%	48.09%	53.53	0.79	492.83K	289,374	1.58%	-0.05%	-15.63%	-3.42%	17.64%	-3.43%	0.32	16.64	2.24% 2.15%	689.67	707.68	2.61%
BR	S&P 500	17.69B	472.40M	4.60B	12.26	3.10	2.30	1.50%	12000	Yes	Yes	2.60	38.00	25.48	3.80	3.85	12.53	49.60	53.62	1.50	1.50	1.26	1.26	-0.38%	4.04	6.03	0.70	-2.70%	10.00%	11.30%	10.90%	7.30%	17.40%	Oct 30 BMO	1.78%	0.70%	-40.53%	88.40%	0.26%	10.00%	37.10%	16.20%	27.70%	13.70%	10.30%	53.40%	14.32%	115.30M	114.82M	1.39%	3.10	156.43	81.90 - 158.36	-4.26%	85.12%	50.36	0.92	513.11K	352,205	-1.32%	5.11%	8.38%	20.48%	19.71%	0.24%	0.85	2.76	1.40% 1.79%	153.57	151.62	-1.27%
