Tickers	Company	GICS.Sector
SLG	SL Green Realty	Real Estate
CB	Chubb Limited	Financials
NVR	NVR, Inc.	Consumer Discretionary
NLSN	Nielsen Holdings	Industrials
BR	Broadridge Financial Solutions	Information Technology
SPG	Simon Property Group Inc	Real Estate
AES	AES Corp	Utilities
VTR	Ventas Inc	Real Estate
PHM	PulteGroup	Consumer Discretionary
OKE	ONEOK	Energy
ENPH	Enphase Energy	Information Technology
BA	Boeing Company	Industrials
NEE	NextEra Energy	Utilities
SBAC	SBA Communications	Real Estate
BEN	Franklin Resources	Financials
SYY	Sysco Corp.	Consumer Staples
CMA	Comerica Inc.	Financials
SRE	Sempra Energy	Utilities
BMY	Bristol-Myers Squibb	Health Care
TDY	Teledyne Technologies	Industrials
EL	Estée Lauder Companies	Consumer Staples
OXY	Occidental Petroleum	Energy
MNST	Monster Beverage	Consumer Staples
VZ	Verizon Communications	Communication Services
KMX	Carmax Inc	Consumer Discretionary
TAP	Molson Coors Beverage Company	Consumer Staples
HBI	Hanesbrands Inc	Consumer Discretionary
LNT	Alliant Energy Corp	Utilities
CVS	CVS Health	Health Care
MRK	Merck & Co.	Health Care
DE	Deere & Co.	Industrials
ORLY	O'Reilly Automotive	Consumer Discretionary
APA	Apache Corporation	Energy
HPE	Hewlett Packard Enterprise	Information Technology
TSLA	Tesla, Inc.	Consumer Discretionary
CF	CF Industries Holdings Inc	Materials
IEX	IDEX Corporation	Industrials
CARR	Carrier Global	Industrials
SIVB	SVB Financial	Financials
JKHY	Jack Henry & Associates	Information Technology
NUE	Nucor Corp.	Materials
APH	Amphenol Corp	Information Technology
IR	Ingersoll Rand	Industrials
ZTS	Zoetis	Health Care
SPGI	S&P Global Inc.	Financials
EVRG	Evergy	Utilities
GOOGL	Alphabet Inc. (Class A)	Communication Services
QCOM	QUALCOMM Inc.	Information Technology
PWR	Quanta Services Inc.	Industrials
UDR	UDR, Inc.	Real Estate
PSA	Public Storage	Real Estate
CTAS	Cintas Corporation	Industrials
AZO	AutoZone Inc	Consumer Discretionary
WRK	WestRock	Materials
DVN	Devon Energy	Energy
JBHT	J. B. Hunt Transport Services	Industrials
ECL	Ecolab Inc.	Materials
AMP	Ameriprise Financial	Financials
XRX	Xerox	Information Technology
AJG	Arthur J. Gallagher & Co.	Financials
PG	Procter & Gamble	Consumer Staples
WAB	Westinghouse Air Brake Technologies Corp	Industrials
TER	Teradyne	Information Technology
HSIC	Henry Schein	Health Care
PEAK	Healthpeak Properties	Real Estate
CAH	Cardinal Health Inc.	Health Care
AME	AMETEK Inc.	Industrials
IPGP	IPG Photonics Corp.	Information Technology
GPC	Genuine Parts	Consumer Discretionary
ZBRA	Zebra Technologies	Information Technology
DHI	D. R. Horton	Consumer Discretionary
IP	International Paper	Materials
DD	DuPont de Nemours Inc	Materials
GD	General Dynamics	Industrials
CBOE	Cboe Global Markets	Financials
TXT	Textron Inc.	Industrials
FLIR	FLIR Systems	Information Technology
YUM	Yum! Brands Inc	Consumer Discretionary
DISCA	Discovery, Inc. (Class A)	Communication Services
HLT	Hilton Worldwide Holdings Inc	Consumer Discretionary
MS	Morgan Stanley	Financials
FTNT	Fortinet	Information Technology
IQV	IQVIA Holdings Inc.	Health Care
ZION	Zions Bancorp	Financials
CL	Colgate-Palmolive	Consumer Staples
GLW	Corning Inc.	Information Technology
LIN	Linde plc	Materials
MTD	Mettler Toledo	Health Care
LB	L Brands Inc.	Consumer Discretionary
SNPS	Synopsys Inc.	Information Technology
DXCM	DexCom	Health Care
MCK	McKesson Corp.	Health Care
NDAQ	Nasdaq, Inc.	Financials
COF	Capital One Financial	Financials
NCLH	Norwegian Cruise Line Holdings	Consumer Discretionary
BAX	Baxter International Inc.	Health Care
USB	U.S. Bancorp	Financials
LHX	L3Harris Technologies	Industrials
LNC	Lincoln National	Financials
TMUS	T-Mobile US	Communication Services
NRG	NRG Energy	Utilities
CDW	CDW	Information Technology
FANG	Diamondback Energy	Energy
PKI	PerkinElmer	Health Care
MSI	Motorola Solutions Inc.	Information Technology
HUM	Humana Inc.	Health Care
NWSA	News Corp. Class A	Communication Services
CINF	Cincinnati Financial	Financials
NSC	Norfolk Southern Corp.	Industrials
CMCSA	Comcast Corp.	Communication Services
FLS	Flowserve Corporation	Industrials
LYB	LyondellBasell	Materials
TMO	Thermo Fisher Scientific	Health Care
NOV	NOV Inc.	Energy
GE	General Electric	Industrials
TJX	TJX Companies Inc.	Consumer Discretionary
UPS	United Parcel Service	Industrials
DFS	Discover Financial Services	Financials
CTVA	Corteva	Materials
AVB	AvalonBay Communities	Real Estate
PNR	Pentair plc	Industrials
PKG	Packaging Corporation of America	Materials
GOOG	Alphabet Inc. (Class C)	Communication Services
WU	Western Union Co	Information Technology
RHI	Robert Half International	Industrials
RMD	ResMed	Health Care
SEE	Sealed Air	Materials
MAA	Mid-America Apartments	Real Estate
IBM	International Business Machines	Information Technology
AOS	A.O. Smith Corp	Industrials
EA	Electronic Arts	Communication Services
NOC	Northrop Grumman	Industrials
PGR	Progressive Corp.	Financials
UA	Under Armour (Class C)	Consumer Discretionary
AEE	Ameren Corp	Utilities
FITB	Fifth Third Bancorp	Financials
SLB	Schlumberger Ltd.	Energy
GPN	Global Payments Inc.	Information Technology
ETN	Eaton Corporation	Industrials
XYL	Xylem Inc.	Industrials
ROP	Roper Technologies	Industrials
TWTR	Twitter, Inc.	Communication Services
VNT	Vontier	Information Technology
DUK	Duke Energy	Utilities
FISV	Fiserv Inc	Information Technology
SJM	JM Smucker	Consumer Staples
ISRG	Intuitive Surgical Inc.	Health Care
MLM	Martin Marietta Materials	Materials
RTX	Raytheon Technologies	Industrials
CCL	Carnival Corp.	Consumer Discretionary
EXPE	Expedia Group	Consumer Discretionary
REGN	Regeneron Pharmaceuticals	Health Care
FE	FirstEnergy Corp	Utilities
SWK	Stanley Black & Decker	Industrials
COG	Cabot Oil & Gas	Energy
PFE	Pfizer Inc.	Health Care
DISCK	Discovery, Inc. (Class C)	Communication Services
MCD	McDonald's Corp.	Consumer Discretionary
RF	Regions Financial Corp.	Financials
DAL	Delta Air Lines Inc.	Industrials
ALB	Albemarle Corp	Materials
GPS	Gap Inc.	Consumer Discretionary
EW	Edwards Lifesciences	Health Care
ULTA	Ulta Beauty	Consumer Discretionary
WELL	Welltower Inc.	Real Estate
TROW	T. Rowe Price Group	Financials
FB	Facebook, Inc.	Communication Services
MU	Micron Technology	Information Technology
PPG	PPG Industries	Materials
FRC	First Republic Bank	Financials
REG	Regency Centers Corporation	Real Estate
FFIV	F5 Networks	Information Technology
WEC	WEC Energy Group	Utilities
DOV	Dover Corporation	Industrials
XEL	Xcel Energy Inc	Utilities
ROL	Rollins, Inc.	Industrials
TSCO	Tractor Supply Company	Consumer Discretionary
CTLT	Catalent	Health Care
FLT	FleetCor Technologies Inc	Information Technology
ADM	Archer-Daniels-Midland Co	Consumer Staples
MMM	3M Company	Industrials
EFX	Equifax Inc.	Industrials
DG	Dollar General	Consumer Discretionary
STZ	Constellation Brands	Consumer Staples
ALK	Alaska Air Group Inc	Industrials
VRSN	Verisign Inc.	Information Technology
AAP	Advance Auto Parts	Consumer Discretionary
RJF	Raymond James Financial, Inc.	Financials
MCO	Moody's Corp	Financials
D	Dominion Energy	Utilities
CVX	Chevron Corp.	Energy
ADP	Automatic Data Processing	Information Technology
LRCX	Lam Research	Information Technology
